Model,Train Accuracy,Test Accuracy,AUC,F1 Score,Precision,Recall,Group
Baseline — Logistic Regression,0.81,0.8057,0.7488,0.399,0.6313,0.2916,1. Baseline
Baseline — Decision Tree,0.8285,0.817,0.7636,0.4711,0.6529,0.3685,1. Baseline
Baseline — Random Forest,0.9958,0.8082,0.7397,0.4804,0.5991,0.4009,1. Baseline
Baseline — Gradient Boosting,0.8279,0.8193,0.7821,0.4728,0.6667,0.3662,1. Baseline
Baseline — XGBoost,0.8327,0.8197,0.7814,0.4701,0.6713,0.3617,1. Baseline
Baseline — LightGBM,0.838,0.8173,0.7804,0.4674,0.658,0.3625,1. Baseline
SMOTE — Logistic Regression,0.7323,0.7262,0.7492,0.5002,0.4194,0.6194,2. Imbalance Handled
SMOTE — Random Forest,0.9756,0.7293,0.7472,0.5028,0.4234,0.6187,2. Imbalance Handled
SMOTE — XGBoost,0.888,0.7717,0.7649,0.5169,0.4858,0.5524,2. Imbalance Handled
SMOTE — LightGBM,0.8129,0.7888,0.7791,0.5404,0.521,0.5614,2. Imbalance Handled
Weight — Logistic Regression,0.4665,0.4648,0.7537,0.4263,0.2794,0.899,2. Imbalance Handled
Weight — Random Forest,0.9831,0.7513,0.7458,0.499,0.45,0.5599,2. Imbalance Handled
Weight — XGBoost,0.762,0.6408,0.7593,0.4816,0.3537,0.7543,2. Imbalance Handled
Weight — LightGBM,0.5837,0.5432,0.7777,0.4545,0.3088,0.8606,2. Imbalance Handled
Tuned SMOTE XGBoost,0.7329,0.7202,0.7766,0.514,0.4173,0.6692,3. Tuned
Tuned Weight XGBoost,0.5492,0.5262,0.7819,0.4521,0.3037,0.8839,3. Tuned
Tuned SMOTE LightGBM,0.828,0.7868,0.7758,0.5421,0.5164,0.5705,3. Tuned
